titolo,categoria,ingredienti
Finanzieri con gelè alla fragola,DOLCI,"['Zucchero a velo 70 g', 'Farina di mandorle 30 g', 'Farina 00 30 g', 'Albumi 55 g', 'Burro 55 g', 'Scorza di limone 1', 'Sciroppo alla fragola 200 g', 'Gelatina in fogli 10 g', 'Succo di limone 16 g', 'Panna fresca liquida q.b.', 'Fiori di lavanda (disidratati) q.b.']"
Spianate piccanti,ANTIPASTI,"['La Bottega di Olivia&Marino spianate al pomodoro 12', 'Paprika piccante q.b.', 'Provolone piccante 15 g', 'Marmellata di peperoncini 25 g']"
Toast di fichi e noci al Bettelmatt,ANTIPASTI,"['Farina di segale 350 g', 'Farina Manitoba 150 g', 'Acqua 400 g', 'Lievito di birra secco 4 g', 'Malto cucchiaino 1', 'Sale fino 10 g', 'Gherigli di noci 80 g', 'Fichi secchi 170 g', 'Bettelmatt 180 g', 'Burro q.b.']"
Colomba focaccia,ANTIPASTI,"['Farina 0 500 g', 'Acqua 320 g', 'Patate lesse 150 g', 'Mandorle in scaglie 150 g', 'Olio extravergine di oliva 30 g', 'Sale fino 10', 'Lievito di birra secco 7 g', 'Timo 15 g', 'Rosmarino 15 g', 'Salvia 15 g', ""Pomodori secchi sott'olio 200 g""]"
Lecca lecca di peperoncini e Grana Padano,ANTIPASTI,"['Grana Padano DOP (Riserva oltre 20 mesi) da grattugiare 100 g', 'Peperoncini Jalapeno 3']"
Sfoglie alle olive con cipolle e pomodorini,ANTIPASTI,"['La Bottega di Olivia&Marino sfoglie con olio extravergine di oliva 12', 'Cipolle rosse di Tropea piccola 1', 'Pomodorini ciliegino 8', 'Olio extravergine di oliva 10 g', 'Aceto di vino bianco 1 cucchiaino', 'Sale fino q.b.', 'Pepe nero q.b.', 'Menta q.b.']"
Alberello di biscotti e Nutella®,DOLCI,"['Nutella® 120 g', 'Farina 00 275 g', 'Farina di mandorle 60 g', 'Zenzero in polvere ¼ cucchiaino', 'Zucchero 125 g', 'Burro freddo di frigo 150 g', 'Uova 1', 'Zucchero a velo q.b.', 'Meringhe 56']"
Pavesini crime,DOLCI,"['Pavesini al cacao 12', 'Pavesini 12', 'Cioccolato bianco 50 g', 'Cioccolato fondente 50 g', 'Panna fresca liquida fredda 250 g', 'Confettura di fragole 100 g', 'Amarene sciroppate 250 g', 'Acqua 100 g']"
Sfoglie con crema obatzda e paprika,ANTIPASTI,"['La Bottega di Olivia&Marino sfoglie classiche 12', 'Stracchino 120 g', 'Cipollotto fresco (facoltativo) 1', 'Burro 20 g', 'Pepe nero q.b.', 'Birra chiara 4 cucchiai', 'Paprika dolce q.b.', 'Camembert 200 g']"
Muffin riso cannella e pere,DOLCI,"['Riso parboiled 50 g', 'Pere Williams intere 2', 'Burro morbido 125 g', 'Farina 00 265 g', 'Zucchero 135 g', 'Latte intero (a temperatura ambiente) 135 g', 'Uova (circa 2 medie) 120 g', 'Cannella in polvere q.b.', 'Lievito in polvere per dolci 10 g']"
Sfoglie con crema di castagne e scamorza,ANTIPASTI,"['Sfoglie croccanti al forno 12', 'Crema di castagne 200 g', 'Provola affumicata 100 g', 'Pinoli 1 cucchiaio']"
Donuts vampiro,DOLCI,"['Farina 00 250 g', 'Farina Manitoba 250 g', 'Lievito di birra secco (con pasta madre disidratata) 21 g', 'Latte intero 250 g', 'Burro morbido 75 g', 'Zucchero 70 g', 'Uova (2 medie) 110 g', 'Estratto di vaniglia 1 cucchiaino', 'Sale fino 6 g', 'Cioccolato fondente 200 g', 'Marmellata di lamponi q.b.', 'Latte intero 100 g', 'Zucchero a velo 300 g', 'Olio di semi q.b.']"
Panna cotta alla gelatina di melagrana,DOLCI,"['Panna fresca liquida 250 g', 'Zucchero 30 g', 'Gelatina in fogli 4 g', 'Rosmarino 2 rametti', 'Melagrana 1 kg', 'Zucchero 70 g', 'Pandoro (1 piccolo) 100 g', 'Cannella in stecche 1', 'Burro 30 g', 'Cioccolato bianco da grattugiare o riccioli q.b.', 'Rosmarino q.b.']"
Risolatte e biscotti,DOLCI,"['Riso vialone nano 200 g', 'Latte intero 500 g', 'Acqua 500 g', 'Zucchero 150 g', 'Baccello di vaniglia 1', 'Sale fino 1 pizzico', 'Biscotti 75 g', 'Mirtilli q.b.', 'Menta q.b.']"
Melone al cubo,DOLCI,"['Melone cantalupo piccolo 1', 'Melone invernale piccolo 1', 'Cocomero (anguria) baby piccola 1', 'Menta q.b.', 'Acqua 250 g', 'Zenzero fresco 40 g', 'Zucchero 225 g', 'Menta q.b.']"
Schiacciate con torretta di verdure e fonduta,ANTIPASTI,"['Emmentaler a fette 50 g', 'Zucchine piccola 1', 'Melanzane piccola 1', 'Peperoni rossi piccolo 1', 'Sale fino q.b.', 'Pepe nero q.b.', 'La Bottega di Olivia&Marino schiacciate 12', 'Fontina 50 g', 'Panna fresca liquida 70 ml', 'Pepe nero q.b.']"
Biscotti per Babbo Natale,DOLCI,"['Burro 200 g', 'Ammoniaca per dolci (per biscotti) 9 g', 'Farina 00 290 g', 'Tuorli (circa 1) 15 g', 'Zucchero a velo 100 g', 'Cacao amaro in polvere 20 g', 'Zucchero di canna q.b.']"
Biscotti bicolore cacao e zucca,DOLCI,"['Zucca napoletana 400 g', 'Farina 00 405 g', 'Fecola di patate 100 g', 'Burro 100 g', 'Tuorli 15 g', 'Zucchero 150 g', 'Cacao amaro in polvere 30 g', 'Confettura di fragole 250 g']"
Schiacciate con insalata di patate all'Asiago,ANTIPASTI,"[""La Bottega di Olivia&Marino schiacciate croccanti con olio extra vergine d'oliva 12"", 'Patate 150 g', 'Asiago 30 g', 'Curry 1 pizzico', 'Prezzemolo q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.']"
Maki di kiwi e salmone,PIATTI UNICI,"['Kiwi green 150 g', 'Salmone (abbattuto) 80 g', 'Alga nori 4 fogli', 'Riso per sushi 250 g', 'Condimento per sushi 50 ml']"
Granita bicolore con finto gelato,DOLCI,"['Cocomero (anguria) polpa 400 g', 'Melone cantalupo polpa 400 g', 'Zucchero 240 g', 'Amido di mais (maizena) 1 cucchiaino', 'Succo di limone 60 g', 'Acqua 1 l', 'Mascarpone 300 g', 'Cioccolato bianco 200 g', 'Panna fresca liquida 50 g', 'Baccello di vaniglia 1', 'Sale fino 1 pizzico', 'Cocomero (anguria) polpa 100 g', 'Zucchero a velo 50 g', 'Succo di limone 30 g']"
"Spianatine con crema di asiago, radicchio e pancetta",ANTIPASTI,"['La Bottega di Olivia&Marino spianatine 12', 'Radicchio di Treviso 1', 'Asiago 150 g', 'Pancetta dolce a cubetti 60 g', 'Latte intero 50 ml', 'Burro 20 g', 'Olio extravergine di oliva q.b.', 'Pepe bianco q.b.', 'Sale fino q.b.', 'Farina 00 1 cucchiaio']"
French toast di Pandoro con Nutella®,DOLCI,"['Pandoro 1', 'Sciroppo di acero 80 g', 'Nutella® 60 g', 'More 50 g', 'Lamponi 50 g', 'Burro (per ungere la padella) 15 g']"
"Piadina con gamberi, fiori di zucca e insalata",PIATTI UNICI,"['Piadine sfogliatissime 4', 'Fiori di zucca da pulire 100 g', 'Gamberi 12', 'Ravanelli 50 g', 'Ricotta vaccina 400 g', 'Valeriana (songino) 100 g', 'Olio extravergine di oliva q.b.', 'Erba cipollina q.b.', 'Succo di limone 1', 'Paprika dolce ½ cucchiaino', 'Sale fino q.b.', 'Pepe nero q.b.', 'Lamponi 45 g', 'Olio extravergine di oliva 40', 'Sale fino q.b.']"
Crostone con zucca grigliata e robiola,ANTIPASTI,"['Pane casereccio 4 fette', 'Robiola (al tartufo) 180 g', 'Prosciutto cotto di praga 100 g', 'Zucca mantovana 150 g', 'Spinacini 50 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Cupcake salati con frosting di patate,ANTIPASTI,"['Farina 00 200 g', 'Cipolle ½', 'Peperoni rossi 1', 'Uova 3', 'Latte intero 120 g', 'Grana Padano DOP da grattugiare 85 g', 'Olio extravergine di oliva 15 g', 'Lievito istantaneo per preparazioni salate 10 g', 'Paprika dolce 1 cucchiaino', 'Timo q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Patate 300 g', 'Grana Padano DOP da grattugiare 50 g', 'Tuorli 2', 'Burro 10 g', 'Noce moscata 1 pizzico', 'Sale fino q.b.', 'Pepe nero q.b.']"
Carpaccio di fichi e gorgonzola,ANTIPASTI,"['Fichi grossi 8', 'Gorgonzola dolce 200 g', 'Gherigli di noci 100 g', 'Panna fresca liquida 100 g', 'Olio extravergine di oliva 30 g', 'Noce moscata q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Farina di farro 250 g', 'Vino bianco 80 g', 'Burro 25 g', 'Olio extravergine di oliva 50 g', 'Timo q.b.', 'Rosmarino q.b.', 'Sale fino q.b.', 'Sale grosso q.b.']"
Sfoglia classica con carciofi e gamberetti,ANTIPASTI,"['La Bottega di Olivia&Marino sfoglie classiche 12', 'Carciofi medio 1', 'Gamberetti sgusciati 80 g', 'Aglio 1 spicchio', 'Limoni 1', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Chiacchiere di Carnevale golose,DOLCI,"['Burro morbido 50 g', 'Uova 3', 'Tuorli 1', 'Grappa 30 g', 'Sale fino 1 pizzico', 'Farina 00 500 g', 'Zucchero 70 g', 'Lievito in polvere per dolci 6 g', 'Estratto di vaniglia in pasta 1 cucchiaino', 'Olio di semi di arachide q.b.', 'Cioccolato fondente q.b.']"
Pumpkin pie Jack Skellington,DOLCI,"['Farina 00 350 g', 'Burro freddo 150 g', 'Acqua fredda 90 g', 'Uova (circa 1) 60 g', 'Zucchero 15 g', 'Sale fino 4 g', 'Zucca delica (già pulita) 500 g', 'Latte condensato 200 g', 'Uova (circa 2) a temperatura ambiente 110 g', 'Zucchero di canna 75 g', 'Amido di mais (maizena) 20 g', 'Estratto di vaniglia (in pasta) 1 cucchiaino 10 g', 'Cannella in polvere ½ cucchiaino']"
Torcelli con ricotta e Capocollo,ANTIPASTI,"['La Bottega di Olivia&Marino torcelli 10', 'Ricotta vaccina 200 g', 'Panna fresca liquida 1 cucchiaio', 'Capocollo di Martina Franca 70 g', 'Erba cipollina stelo 1', 'Prezzemolo 1 ciuffo', 'Timo 1 rametto', 'Maggiorana qualche fogliolina', 'Pepe bianco q.b.', 'Sale fino q.b.']"
Ciambella di Natale con Nutella®,DOLCI,"['Farina 00 300 g', 'Zucchero 300 g', 'Burro morbido 120 g', 'Latte intero a temperatura ambiente 170 g', 'Uova 2', 'Ribes 60 g', 'Lamponi 60 g', 'Lievito in polvere per dolci 16 g', 'Estratto di vaniglia 5 g', 'Nutella® 120 g', 'Timo q.b.', 'Ribes q.b.']"
Pollo con cachi e topinambur,SECONDI PIATTI,"['Pollo in parti 1,1 kg', 'Paprika dolce q.b.', 'Rosmarino q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Topinambur 400 g', 'Acqua 250 g', 'Maggiorana q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Cachi mela 200 g', 'Cipolle dorate piccole 2', ""Senape all'antica 50 g"", 'Maggiorana q.b.']"
Cialda di pandoro con mousse di ricotta e Nutella®,DOLCI,"['Nutella® 90 g', 'Pandoro 6 fette', 'Ricotta vaccina 150 g', 'Panna fresca liquida 100 g', 'Zucchero 40 g', 'Acqua 15 g', 'Tuorli 2', 'Gelatina in fogli 7 g', 'Lamponi 40 g', 'Ribes 20 g', 'Zucchero 20 g', 'Acqua 5 g', 'Lamponi q.b.', 'Ribes q.b.', 'Fiori eduli q.b.']"
Schiacciate con involtini di San Daniele,ANTIPASTI,"['La Bottega di Olivia&Marino schiacciate croccanti con olio extravergine di oliva 12', 'Prosciutto crudo San Daniele 6 fette', 'Robiola 100 g', 'Erba cipollina 1 mazzetto', 'Menta 4 foglie', 'Basilico 4 foglie']"
Crostatine con crema di Skyr pere e anacardi,DOLCI,"['Farina 00 150 g', 'Zucchero 75 g', 'Uova (1 medio) 53 g', 'Sale fino 1 pizzico', 'Estratto di vaniglia 1 cucchiaino', 'Burro freddo 75 g', 'Mascarpone 150 g', 'Zucchero a velo 50 g', 'Skyr 300 g', 'Pere Williams 400 g', 'Zucchero di canna 50 g', 'Cannella in stecche 1', 'Anacardi 50 g', 'Menta q.b.']"
Caramelle fritte con crema pasticcera e frutti di bosco,DOLCI,"['Dischetti di pasta 16', 'Tuorli 3', 'Amido di mais (maizena) 45 g', 'Zucchero 70 g', 'Latte 200 g', 'Baccello di vaniglia 1', 'Panna fresca liquida 50 g', 'Frutti di bosco misti (lamponi e mirtilli) 100 g', 'Olio di semi 1 l', 'Zucchero a velo q.b.']"
Crocchette di pane cacio e pepe con coulis di pomodoro,ANTIPASTI,"['Pane casereccio mollica 355 g', 'Pecorino 170 g', 'Uova ( due medie) 105 g', 'Latte intero 100 g', 'Pepe nero (abbondante) q.b.', 'Pane casereccio la crosta 345 g', 'Rosmarino q.b.', 'Uova 2', 'Pomodori ramati 370 g', 'Sale fino q.b.', 'Basilico 4 foglie', 'Olio di semi di girasole alto oleico q.b.']"
Pavesini renna,DOLCI,"['Latte intero 250 g', 'Tuorli 3', 'Zucchero 60 g', 'Amido di mais (maizena) 35 g', 'Cannella in polvere 1 pizzico', 'Pavesini q.b.', 'Pavesini al cacao q.b.', 'Cioccolato fondente 100 g', 'Cioccolato bianco 50 g', 'Coloranti alimentari rosso q.b.', 'Decorazione alimentare occhietti di zucchero q.b.']"
Fiori di Eglefino zucca e pesto,SECONDI PIATTI,"['Eglefino 2 filetti', 'Zucca mantovana da pulire 1 kg', 'Acqua 60 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Scorza di limone ½', 'Aglio 2 spicchi', 'Basilico 20 g', 'Pinoli 20 g', 'Olio extravergine di oliva 80 g']"
Pasta Babbo Natale,PRIMI PIATTI,"['Mini Pipe Rigate 160 g', 'Passata di pomodoro 250 g', 'Mozzarella 125 g', 'Olive nere denocciolate 2', 'Aglio 1 spicchio', 'Basilico 3 foglie', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Chutney di mele allo zafferano,SALSE E SUGHI,"['Mele renette 1 kg', 'Sedano 260 g', 'Zucchero di canna 120 g', 'Aceto di mele 130 g', 'Zafferano in pistilli 10', 'Acqua 30 g', 'Sale fino 10 g', 'Pepe nero q.b.']"
Sfilati al forno con prosciutto ed Emmental,ANTIPASTI,"['Emmentaler 12 fette', 'Prosciutto cotto 6 fette', 'La Bottega di Olivia&Marino sfilati al pomodoro 12']"
Muffin occhio di bue spaventosi,DOLCI,"['Farina 00 380 g', 'Latte intero 250 g', 'Zucchero 200 g', 'Burro 140 g', 'Uova 2', 'Lievito in polvere per dolci 16 g', 'Burro q.b.', 'Farina 00 q.b.', 'Confettura di lamponi 300 g', 'Decorazione alimentare (occhietti di zucchero) q.b.']"
Panini mostruosi,LIEVITATI,"['Farina 00 350 g', 'Farina Manitoba 150 g', 'Latte intero 300 g', 'Zucchero 60 g', 'Burro 50 g', 'Lievito di birra secco (con pasta madre disidratata) 7 g', 'Carbone vegetale 12 g', 'Sale fino 7 g', 'Cioccolato bianco 100 g', 'Cioccolato fondente 60 g', 'Confettura di lamponi 250 g']"
Spianatine con julienne di verdure e Asiago,ANTIPASTI,"['La Bottega di Olivia&Marino spianatine con pomodorini scarpariello e basilico 12', 'Carote 30 g', 'Sedano 25 g', 'Finocchi 25 g', 'Asiago 25 g', 'Zucchine 20 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
"Lingotto di pandoro, yogurt e Nutella®",DOLCI,"['Pandoro 200 g', 'Yogurt greco 175 g', 'Panna fresca liquida 120 g', 'Gelatina in fogli 5 g', 'Miele di acacia 25 g', 'Estratto di vaniglia ½ cucchiaino', 'Sale fino 1 pizzico', 'More q.b.', 'Ribes q.b.', 'Granella di nocciole q.b.', 'Nutella® 105 g']"
Mini pancake mostrini,DOLCI,"['Farina 00 250 g', 'Latte intero 400 g', 'Burro 50 g', 'Zucchero a velo 30 g', 'Lievito in polvere per dolci 16 g', 'Uova 4', 'Sale fino 1 pizzico', 'Confettura di frutti di bosco 250 g', 'Zuccherini a forma di occhietti 72']"
Torta di Natale con Pavesini,DOLCI,"['Latte intero 250 g', 'Zucchero 70 g', 'Cioccolato fondente al 55% 50 g', 'Tuorli ( circa 2 grandi) 38 g', 'Amido di mais (maizena) 23 g', 'Baccello di vaniglia 1', 'Sale fino q.b.', 'Zucchero (25g per gli albumi + 75g per lo sciroppo) 100 g', 'Albumi 50 g', 'Farina di mandorle 45 g', 'Acqua 25 g', 'Aroma alla mandorla 1,5 g', 'Pavesini (circa 5 pacchetti) 130 g', 'Lamponi q.b.', 'Ribes q.b.', 'Rosmarino q.b.']"
Pan brioche mostruoso,LIEVITATI,"['Farina 0 500 g', 'Spinaci 250 g', 'Latte intero 130 g', 'Burro a temperatura ambiente 120 g', 'Uova a temperatura ambiente 2', 'Zucchero 20 g', 'Lievito di birra secco 7 g', 'Sale fino 10 g', 'Olio spray q.b.', 'Tuorli 1', 'Panna fresca liquida 20 g', 'Scamorza (provola) q.b.', 'Semi di sesamo nero q.b.']"
Bicchieri di albicocche e robiola,DOLCI,"['Albicocche 500 g', 'Zucchero 50 g', 'Succo di limone ½', 'Robiola 150 g', 'Zucchero a velo 40 g', 'Scorza di limone ½', 'Biscotti secchi 50 g', 'Mix di frutta secca/essiccata (noci, nocciole, mandorle) 80 g', 'Rosmarino aghetto qualche']"
Mattonella di Natale con Pavesini,DOLCI,"['Pavesini al cacao 24', 'Albicocche disidratate 4', 'Pere disidratate pezzi 4', 'Arachidi non salate 20 g', 'Cioccolato fondente al 55% 100 g', 'Latte intero 500 g', 'Zucchero 140 g', 'Tuorli 75 g', 'Amido di mais (maizena) 45 g', 'Estratto di vaniglia 1 cucchiaino', 'Sale fino 1 pizzico', 'Cioccolato fondente 100 g', 'Albicocche disidratate 2', 'Pere disidratate pezzi 2', 'Arachidi non salate 16', 'Gherigli di noci 4', 'Timo q.b.']"
Albero pizza,LIEVITATI,"['Farina Manitoba 160 g', 'Farina 00 200 g', 'Acqua 230 g', 'Olio extravergine di oliva 30 g', 'Sale fino 10 g', 'Lievito di birra secco 7 g', 'Zucchero 2 cucchiaini', 'Spinaci 500 g', 'Ricotta vaccina 250 g', 'Aglio 1 spicchio', 'Grana Padano DOP 80 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Noce moscata q.b.', 'Mandorle in scaglie q.b.', 'Grana Padano DOP q.b.', 'Olio extravergine di oliva q.b.', 'Pepe nero q.b.']"
Meline ripiene,DOLCI,"['Mele Gala baby 5', 'Farina integrale 50 g', 'Farina di nocciole 25 g', 'Latte di mandorle 40 g', 'Burro fuso 30 g', 'Cannella in polvere 1 cucchiaino', 'Nocciole 20 g', ""Succo d'arancia 100 g"", 'Yogurt bianco naturale 125 g', 'Baccello di vaniglia 1']"
"Piadina con ganache alle nocciole, lamponi e cocco",DOLCI,"['Piadine Arrotolabili 4', 'Lamponi 100 g', 'Cocco (in scaglie grosse) 15 g', 'Cioccolato fondente 230 g', 'Panna fresca liquida 150 g', 'Granella di nocciole 15 g']"
Calendario dell'avvento di biscotti,DOLCI,"['Zucchero a velo 200 g', 'Farina 00 500 g', 'Tuorli 4', 'Burro 250 g', 'Baccello di vaniglia 1', 'Matite alimentari Cioccocaramel q.b.', 'Matite alimentari brillanti q.b.', 'Decorazione alimentare lettere e numeri di cioccolato q.b.', 'Decorazione alimentare perline morbide argentate q.b.', 'Pasta di zucchero 380 g', 'Coloranti alimentari rosso, giallo e blu q.b.', 'Colla alimentare q.b.']"
Muffin fantasma,DOLCI,"['Burro a temperatura ambiente 190 g', 'Zucchero 100 g', 'Farina 00 400 g', 'Lievito in polvere per dolci 16 g', 'Uova medie 3', 'Latte condensato 300 g', 'Baccello di vaniglia 1', 'Gocce di cioccolato bianco 50 g', 'Pasta di zucchero 1 kg', 'Gocce di cioccolato fondente 30 g']"
Panettoncini con mandarino candito e rosmarino,LIEVITATI,"['Farina Manitoba 30 g', 'Lievito di birra secco 2 g', 'Acqua a temperatura ambiente 20 g', 'Farina Manitoba 50 g', 'Farina 00 60 g', 'Burro morbido 30 g', 'Zucchero 30 g', 'Tuorli 15 g', 'Acqua a temperatura ambiente 70 g', 'Burro morbido 10 g', 'Farina 00 30 g', 'Zucchero 10 g', 'Miele 5 g', 'Tuorli 15 g', 'Sale fino 1 pizzico', 'Mandarini canditi 65 g', 'Rosmarino (gli aghetti) 5 g', 'Acqua 30 g', 'Zucchero 50 g', 'Burro da fondere 10 g']"
Pacchetti regalo con Pavesini,DOLCI,"['Mandorle pelate 85 g', 'Zucchero 40 g', 'Panna fresca liquida 220 g', 'Zucchero 65 g', 'Tuorli 52 g', 'Acqua 25 g', 'Mandorle pelate 60 g', 'Burro fuso 30 g', 'Pavesini 10', 'Pavesini al cacao 10', 'Pasta di zucchero bianca 100 g']"
Pavesini candy cane,DOLCI,"['Pavesini 32', 'Cioccolato fondente 200 g', 'Panna fresca liquida 200 g', 'Anice stellato 10 g', 'Zucchero a velo 100 g', 'Acqua q.b.', 'Coloranti alimentari rosso idrosolubile q.b.', 'Decorazione alimentare natalizie q.b.']"
Alberelli di pasta,PRIMI PIATTI,"['Mini Tortiglioni 320 g', 'Passata di pomodoro 400 g', 'Piselli surgelati 80 g', 'Prosciutto cotto a fette 150 g', 'Timo q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Latte intero 180 g', 'Burro 40 g', 'Farina 00 40 g', 'Noce moscata q.b.']"
Pane al sidro,LIEVITATI,"['Sidro 750 ml', 'Farina integrale 600 g', 'Farina Manitoba 400 g', 'Lievito di birra secco 7 g', 'Sale fino 20 g', 'Malto 1 cucchiaino']"
Biscotti di zucca della strega,DOLCI,"['Farina 00 300 g', 'Zucchero 150 g', 'Burro 125 g', 'Scorza di limone 1', 'Uova intero medio 1', 'Tuorli 2', 'Zucca polpa 300 g', 'Zucchero 50 g', 'Acqua 100 ml', 'Scorza di limone 1', 'Albumi 30 g', 'Zucchero a velo 50 g', 'Succo di limone q.b.', 'Coloranti alimentari arancione q.b.']"
Pancake crudo e fichi,ANTIPASTI,"['Fichi viola (la polpa) 45 g', 'Farina 00 100 g', 'Uova 75 g', 'Latte intero 65 g', 'Burro fuso 15 g', 'Zucchero 7 g', 'Lievito in polvere per dolci 4 g', 'Sale fino 1 pizzico', 'Prosciutto crudo 60 g', 'Fichi viola 2', 'Formaggio fresco spalmabile 200 g', 'Miele di castagno 2 cucchiaini', 'Timo q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Burro q.b.']"
Bignè salati alla mortadella,ANTIPASTI,"['Uova (circa 2 medie) 110 g', 'Farina 00 75 g', 'Acqua 65 g', 'Latte intero 60 g', 'Burro 50 g', 'Zucchero 1 pizzico', 'Sale fino 1 pizzico', 'Mortadella 160 g', 'Robiola 200 g', 'Formaggio fresco spalmabile 100 g', 'Panna fresca liquida 25 g', 'Basilico q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Basilico q.b.']"
Avocado toast con bresaola di tacchino,ANTIPASTI,"['Pane di segale 4 fette', 'Avocado 350 g', 'Bresaola di tacchino 120 g', 'Noci 60 g', 'Parmigiano Reggiano DOP in scaglie 50 g', 'Succo di limone ½', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Risotto con crema di zucchine e gamberi crudi,PRIMI PIATTI,"['Riso Carnaroli 180 g', 'Zucchine con i fiori 200 g', 'Gamberi 150 g', 'Sedano 1 costa', 'Carote 1', 'Cipolle 1', 'Aglio 1 spicchio', 'Vino bianco 100 g', 'Scorza di limone (da grattugiare) q.b.', 'Menta 4 foglie', 'Maggiorana 1 rametto', 'Aneto 1 rametto', 'Olio extravergine di oliva q.b.', 'Sale q.b.', 'Pepe nero q.b.']"
Bruschetta crudo e mango,ANTIPASTI,"['Pane casereccio 4 fette', 'Prosciutto crudo 100 g', 'Pomodori sardi (camone) piccoli 4', 'Ricotta vaccina 300 g', 'Scorza di limone 1', 'Mango 300 g', 'Succo di limone ½', 'Timo q.b.', 'Rosmarino q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Tartare di ricciola alla mediterranea,ANTIPASTI,"['Ricciola (abbattuta) 600 g', 'Olive di Gaeta 10 g', 'Capperi dissalati 10 g', 'Sedano 1 costa', 'Cipollotti 1 g', 'Pomodorini 6', 'Olio extravergine di oliva q.b.', 'Sale q.b.', 'Pepe bianco q.b.', 'Avocado 1', 'Succo di lime q.b.', 'Olio extravergine di oliva q.b.', 'Sale q.b.', 'Cerfoglio q.b.', 'Aneto q.b.', 'Olio extravergine di oliva q.b.']"
Panino con polpo e burrata,PIATTI UNICI,"['Panini 2', 'Polpo già pulito 300 g', 'Burrata 200 g', 'Pomodorini 200 g', 'Aglio 2 spicchi', 'Pinoli 10 g', 'Basilico q.b.', 'Parmigiano Reggiano DOP q.b.', 'Olio extravergine di oliva q.b.', 'Maggiorana q.b.', 'Sale q.b.', 'Pepe nero q.b.']"
Panna cotta alle more con Pavesini,DOLCI,"['Pavesini (4 monopack) 40', 'More 250 g', 'Panna fresca liquida 500 g', 'Zucchero 80 g', 'Baccello di vaniglia ½', 'Gelatina in fogli 8 g', 'Acqua 100 g', 'Zucchero 100 g', ""Liquore all'arancia 25 g"", 'Baccello di vaniglia ½', 'Maggiorana q.b.']"
Torta di Pavesini con fragole e albicocche,DOLCI,"['Pavesini (4 monopack) 38', 'Latte intero 300 g', 'Panna fresca liquida 300 g', 'Zucchero 110 g', 'Tuorli (circa 5) 100 g', 'Amido di mais (maizena) 30 g', 'Gelatina in fogli 10 g', 'Baccello di vaniglia 1', 'Confettura di frutti di bosco 100 g', 'Fragole 3', 'Albicocche 3', 'Zucchero 50 g', 'Acqua 50 g', 'Gelatina in fogli 5 g', 'Menta q.b.']"
